txn_id,ring_id,ring_type
TXN000001,CIRC_4,CIRCULAR
TXN000002,CIRC_4,CIRCULAR
TXN000003,CIRC_4,CIRCULAR
TXN000004,CIRC_4,CIRCULAR
TXN000005,CIRC_5_SUBTLE,CIRCULAR
TXN000006,CIRC_5_SUBTLE,CIRCULAR
TXN000007,CIRC_5_SUBTLE,CIRCULAR
TXN000008,CIRC_5_SUBTLE,CIRCULAR
TXN000009,CIRC_5_SUBTLE,CIRCULAR
TXN000010,CIRC_6_HERO,CIRCULAR
TXN000011,CIRC_6_HERO,CIRCULAR
TXN000012,CIRC_6_HERO,CIRCULAR
TXN000013,CIRC_6_HERO,CIRCULAR
TXN000014,CIRC_6_HERO,CIRCULAR
TXN000015,CIRC_6_HERO,CIRCULAR
TXN000016,CIRC_8,CIRCULAR
TXN000017,CIRC_8,CIRCULAR
TXN000018,CIRC_8,CIRCULAR
TXN000019,CIRC_8,CIRCULAR
TXN000020,CIRC_8,CIRCULAR
TXN000021,CIRC_8,CIRCULAR
TXN000022,CIRC_8,CIRCULAR
TXN000023,CIRC_8,CIRCULAR
TXN000024,MULE_12,MULE_NETWORK
TXN000025,MULE_12,MULE_NETWORK
TXN000026,MULE_12,MULE_NETWORK
TXN000027,MULE_12,MULE_NETWORK
TXN000028,MULE_12,MULE_NETWORK
TXN000029,MULE_12,MULE_NETWORK
TXN000030,MULE_12,MULE_NETWORK
TXN000031,MULE_12,MULE_NETWORK
TXN000032,MULE_12,MULE_NETWORK
TXN000033,MULE_12,MULE_NETWORK
TXN000034,MULE_12,MULE_NETWORK
TXN000035,MULE_12,MULE_NETWORK
TXN000036,MULE_12,MULE_NETWORK
TXN000037,MULE_12,MULE_NETWORK
TXN000038,MULE_12,MULE_NETWORK
TXN000039,MULE_12,MULE_NETWORK
TXN000040,MULE_12,MULE_NETWORK
TXN000041,MULE_12,MULE_NETWORK
TXN000042,MULE_12,MULE_NETWORK
TXN000043,MULE_12,MULE_NETWORK
TXN000044,MULE_12,MULE_NETWORK
TXN000045,MULE_12,MULE_NETWORK
TXN000046,MULE_12,MULE_NETWORK
TXN000047,MULE_12,MULE_NETWORK
TXN000048,MULE_25,MULE_NETWORK
TXN000049,MULE_25,MULE_NETWORK
TXN000050,MULE_25,MULE_NETWORK
TXN000051,MULE_25,MULE_NETWORK
TXN000052,MULE_25,MULE_NETWORK
TXN000053,MULE_25,MULE_NETWORK
TXN000054,MULE_25,MULE_NETWORK
TXN000055,MULE_25,MULE_NETWORK
TXN000056,MULE_25,MULE_NETWORK
TXN000057,MULE_25,MULE_NETWORK
TXN000058,MULE_25,MULE_NETWORK
TXN000059,MULE_25,MULE_NETWORK
TXN000060,MULE_25,MULE_NETWORK
TXN000061,MULE_25,MULE_NETWORK
TXN000062,MULE_25,MULE_NETWORK
TXN000063,MULE_25,MULE_NETWORK
TXN000064,MULE_25,MULE_NETWORK
TXN000065,MULE_25,MULE_NETWORK
TXN000066,MULE_25,MULE_NETWORK
TXN000067,MULE_25,MULE_NETWORK
TXN000068,MULE_25,MULE_NETWORK
TXN000069,MULE_25,MULE_NETWORK
TXN000070,MULE_25,MULE_NETWORK
TXN000071,MULE_25,MULE_NETWORK
TXN000072,MULE_25,MULE_NETWORK
TXN000073,MULE_25,MULE_NETWORK
TXN000074,MULE_25,MULE_NETWORK
TXN000075,MULE_25,MULE_NETWORK
TXN000076,MULE_25,MULE_NETWORK
TXN000077,MULE_25,MULE_NETWORK
TXN000078,MULE_25,MULE_NETWORK
TXN000079,MULE_25,MULE_NETWORK
TXN000080,MULE_25,MULE_NETWORK
TXN000081,MULE_25,MULE_NETWORK
TXN000082,MULE_25,MULE_NETWORK
TXN000083,MULE_25,MULE_NETWORK
TXN000084,MULE_25,MULE_NETWORK
TXN000085,MULE_25,MULE_NETWORK
TXN000086,MULE_25,MULE_NETWORK
TXN000087,MULE_25,MULE_NETWORK
TXN000088,MULE_25,MULE_NETWORK
TXN000089,MULE_25,MULE_NETWORK
TXN000090,MULE_25,MULE_NETWORK
TXN000091,MULE_25,MULE_NETWORK
TXN000092,MULE_25,MULE_NETWORK
TXN000093,MULE_25,MULE_NETWORK
TXN000094,MULE_25,MULE_NETWORK
TXN000095,MULE_25,MULE_NETWORK
TXN000096,MULE_25,MULE_NETWORK
TXN000097,MULE_25,MULE_NETWORK
TXN000098,MULE_40,MULE_NETWORK
TXN000099,MULE_40,MULE_NETWORK
TXN000100,MULE_40,MULE_NETWORK
TXN000101,MULE_40,MULE_NETWORK
TXN000102,MULE_40,MULE_NETWORK
TXN000103,MULE_40,MULE_NETWORK
TXN000104,MULE_40,MULE_NETWORK
TXN000105,MULE_40,MULE_NETWORK
TXN000106,MULE_40,MULE_NETWORK
TXN000107,MULE_40,MULE_NETWORK
TXN000108,MULE_40,MULE_NETWORK
TXN000109,MULE_40,MULE_NETWORK
TXN000110,MULE_40,MULE_NETWORK
TXN000111,MULE_40,MULE_NETWORK
TXN000112,MULE_40,MULE_NETWORK
TXN000113,MULE_40,MULE_NETWORK
TXN000114,MULE_40,MULE_NETWORK
TXN000115,MULE_40,MULE_NETWORK
TXN000116,MULE_40,MULE_NETWORK
TXN000117,MULE_40,MULE_NETWORK
TXN000118,MULE_40,MULE_NETWORK
TXN000119,MULE_40,MULE_NETWORK
TXN000120,MULE_40,MULE_NETWORK
TXN000121,MULE_40,MULE_NETWORK
TXN000122,MULE_40,MULE_NETWORK
TXN000123,MULE_40,MULE_NETWORK
TXN000124,MULE_40,MULE_NETWORK
TXN000125,MULE_40,MULE_NETWORK
TXN000126,MULE_40,MULE_NETWORK
TXN000127,MULE_40,MULE_NETWORK
TXN000128,MULE_40,MULE_NETWORK
TXN000129,MULE_40,MULE_NETWORK
TXN000130,MULE_40,MULE_NETWORK
TXN000131,MULE_40,MULE_NETWORK
TXN000132,MULE_40,MULE_NETWORK
TXN000133,MULE_40,MULE_NETWORK
TXN000134,MULE_40,MULE_NETWORK
TXN000135,MULE_40,MULE_NETWORK
TXN000136,MULE_40,MULE_NETWORK
TXN000137,MULE_40,MULE_NETWORK
TXN000138,MULE_40,MULE_NETWORK
TXN000139,MULE_40,MULE_NETWORK
TXN000140,MULE_40,MULE_NETWORK
TXN000141,MULE_40,MULE_NETWORK
TXN000142,MULE_40,MULE_NETWORK
TXN000143,MULE_40,MULE_NETWORK
TXN000144,MULE_40,MULE_NETWORK
TXN000145,MULE_40,MULE_NETWORK
TXN000146,MULE_40,MULE_NETWORK
TXN000147,MULE_40,MULE_NETWORK
TXN000148,MULE_40,MULE_NETWORK
TXN000149,MULE_40,MULE_NETWORK
TXN000150,MULE_40,MULE_NETWORK
TXN000151,MULE_40,MULE_NETWORK
TXN000152,MULE_40,MULE_NETWORK
TXN000153,MULE_40,MULE_NETWORK
TXN000154,MULE_40,MULE_NETWORK
TXN000155,MULE_40,MULE_NETWORK
TXN000156,MULE_40,MULE_NETWORK
TXN000157,MULE_40,MULE_NETWORK
TXN000158,MULE_40,MULE_NETWORK
TXN000159,MULE_40,MULE_NETWORK
TXN000160,MULE_40,MULE_NETWORK
TXN000161,MULE_40,MULE_NETWORK
TXN000162,MULE_40,MULE_NETWORK
TXN000163,MULE_40,MULE_NETWORK
TXN000164,MULE_40,MULE_NETWORK
TXN000165,MULE_40,MULE_NETWORK
TXN000166,MULE_40,MULE_NETWORK
TXN000167,MULE_40,MULE_NETWORK
TXN000168,MULE_40,MULE_NETWORK
TXN000169,MULE_40,MULE_NETWORK
TXN000170,MULE_40,MULE_NETWORK
TXN000171,MULE_40,MULE_NETWORK
TXN000172,MULE_40,MULE_NETWORK
TXN000173,MULE_40,MULE_NETWORK
TXN000174,MULE_40,MULE_NETWORK
TXN000175,MULE_40,MULE_NETWORK
TXN000176,MULE_40,MULE_NETWORK
TXN000177,MULE_40,MULE_NETWORK
TXN000178,VELOCITY_4,VELOCITY_CHAIN
TXN000179,VELOCITY_4,VELOCITY_CHAIN
TXN000180,VELOCITY_4,VELOCITY_CHAIN
TXN000181,VELOCITY_4,VELOCITY_CHAIN
TXN000182,VELOCITY_5,VELOCITY_CHAIN
TXN000183,VELOCITY_5,VELOCITY_CHAIN
TXN000184,VELOCITY_5,VELOCITY_CHAIN
TXN000185,VELOCITY_5,VELOCITY_CHAIN
TXN000186,VELOCITY_5,VELOCITY_CHAIN
TXN000187,VELOCITY_7,VELOCITY_CHAIN
TXN000188,VELOCITY_7,VELOCITY_CHAIN
TXN000189,VELOCITY_7,VELOCITY_CHAIN
TXN000190,VELOCITY_7,VELOCITY_CHAIN
TXN000191,VELOCITY_7,VELOCITY_CHAIN
TXN000192,VELOCITY_7,VELOCITY_CHAIN
TXN000193,VELOCITY_7,VELOCITY_CHAIN
TXN000194,STRUCTURING_10L,STRUCTURING
TXN000195,STRUCTURING_10L,STRUCTURING
TXN000196,STRUCTURING_10L,STRUCTURING
TXN000197,STRUCTURING_10L,STRUCTURING
TXN000198,STRUCTURING_10L,STRUCTURING
TXN000199,STRUCTURING_10L,STRUCTURING
TXN000200,STRUCTURING_10L,STRUCTURING
TXN000201,STRUCTURING_10L,STRUCTURING
TXN000202,STRUCTURING_10L,STRUCTURING
TXN000203,STRUCTURING_10L,STRUCTURING
TXN000204,STRUCTURING_10L,STRUCTURING
TXN000205,STRUCTURING_10L,STRUCTURING
TXN000206,STRUCTURING_10L,STRUCTURING
TXN000207,STRUCTURING_10L,STRUCTURING
TXN000208,STRUCTURING_10L,STRUCTURING
TXN000209,STRUCTURING_10L,STRUCTURING
TXN000210,STRUCTURING_10L,STRUCTURING
TXN000211,STRUCTURING_10L,STRUCTURING
TXN000212,STRUCTURING_10L,STRUCTURING
TXN000213,STRUCTURING_10L,STRUCTURING
TXN000214,STRUCTURING_10L,STRUCTURING
TXN000215,STRUCTURING_10L,STRUCTURING
TXN000216,STRUCTURING_10L,STRUCTURING
TXN000217,STRUCTURING_10L,STRUCTURING
TXN000218,STRUCTURING_10L,STRUCTURING
TXN000219,STRUCTURING_10L,STRUCTURING
TXN000220,STRUCTURING_10L,STRUCTURING
TXN000221,STRUCTURING_10L,STRUCTURING
TXN000222,STRUCTURING_10L,STRUCTURING
TXN000223,STRUCTURING_10L,STRUCTURING
TXN000224,STRUCTURING_50K,STRUCTURING
TXN000225,STRUCTURING_50K,STRUCTURING
TXN000226,STRUCTURING_50K,STRUCTURING
TXN000227,STRUCTURING_50K,STRUCTURING
TXN000228,STRUCTURING_50K,STRUCTURING
TXN000229,STRUCTURING_50K,STRUCTURING
TXN000230,STRUCTURING_50K,STRUCTURING
TXN000231,STRUCTURING_50K,STRUCTURING
TXN000232,STRUCTURING_50K,STRUCTURING
TXN000233,STRUCTURING_50K,STRUCTURING
TXN000234,STRUCTURING_50K,STRUCTURING
TXN000235,STRUCTURING_50K,STRUCTURING
TXN000236,STRUCTURING_50K,STRUCTURING
TXN000237,STRUCTURING_50K,STRUCTURING
TXN000238,STRUCTURING_50K,STRUCTURING
TXN000239,STRUCTURING_50K,STRUCTURING
TXN000240,STRUCTURING_50K,STRUCTURING
TXN000241,STRUCTURING_50K,STRUCTURING
TXN000242,STRUCTURING_50K,STRUCTURING
TXN000243,STRUCTURING_50K,STRUCTURING
TXN000244,STRUCTURING_50K,STRUCTURING
TXN000245,STRUCTURING_50K,STRUCTURING
TXN000246,STRUCTURING_50K,STRUCTURING
TXN000247,STRUCTURING_50K,STRUCTURING
TXN000248,STRUCTURING_50K,STRUCTURING
TXN000249,STRUCTURING_50K,STRUCTURING
TXN000250,STRUCTURING_50K,STRUCTURING
TXN000251,STRUCTURING_50K,STRUCTURING
TXN000252,STRUCTURING_50K,STRUCTURING
TXN000253,STRUCTURING_50K,STRUCTURING
TXN000254,STRUCTURING_50K,STRUCTURING
TXN000255,STRUCTURING_50K,STRUCTURING
TXN000256,STRUCTURING_50K,STRUCTURING
TXN000257,STRUCTURING_50K,STRUCTURING
TXN000258,STRUCTURING_50K,STRUCTURING
