txn_id,timestamp,from_account,to_account,amount,channel,from_bank,to_bank
TXN000001,2026-08-28 13:26:18,ACC00001,ACC00002,619926.45,NEFT,BANK_A,BANK_A
TXN000002,2026-08-28 16:26:18,ACC00002,ACC00003,609350.45,NEFT,BANK_A,BANK_B
TXN000003,2026-08-28 21:26:18,ACC00003,ACC00004,598277.24,NEFT,BANK_B,BANK_B
TXN000004,2026-08-29 01:26:18,ACC00004,ACC00001,582548.64,NEFT,BANK_B,BANK_A
TXN000005,2026-09-11 17:26:48,ACC00005,ACC00006,71816.63,UPI,BANK_A,BANK_A
TXN000006,2026-09-13 11:26:48,ACC00006,ACC00007,69436.82,NEFT,BANK_A,BANK_B
TXN000007,2026-09-14 01:26:48,ACC00007,ACC00008,66714.47,NEFT,BANK_B,BANK_B
TXN000008,2026-09-15 17:26:48,ACC00008,ACC00009,65194.5,UPI,BANK_B,BANK_A
TXN000009,2026-09-17 17:26:48,ACC00009,ACC00005,60024.11,IMPS,BANK_A,BANK_A
TXN000010,2026-08-30 00:48:56,ACC00010,ACC00011,24000000.0,RTGS,BANK_A,BANK_A
TXN000011,2026-08-30 01:35:56,ACC00011,ACC00012,23837091.92,RTGS,BANK_A,BANK_B
TXN000012,2026-08-30 02:06:56,ACC00012,ACC00013,23693623.23,RTGS,BANK_B,BANK_B
TXN000013,2026-08-30 02:40:56,ACC00013,ACC00014,23358052.61,RTGS,BANK_B,BANK_A
TXN000014,2026-08-30 03:20:56,ACC00014,ACC00015,23166344.02,RTGS,BANK_A,BANK_B
TXN000015,2026-08-30 03:46:56,ACC00015,ACC00010,22892388.3,RTGS,BANK_B,BANK_A
TXN000016,2026-08-31 11:07:47,ACC00016,ACC00017,642625.3,NEFT,BANK_A,BANK_A
TXN000017,2026-08-31 12:07:47,ACC00017,ACC00018,626948.73,RTGS,BANK_A,BANK_B
TXN000018,2026-08-31 13:07:47,ACC00018,ACC00019,621022.04,NEFT,BANK_B,BANK_B
TXN000019,2026-08-31 16:07:47,ACC00019,ACC00020,616376.11,IMPS,BANK_B,BANK_A
TXN000020,2026-08-31 19:07:47,ACC00020,ACC00021,612832.68,RTGS,BANK_A,BANK_B
TXN000021,2026-08-31 23:07:47,ACC00021,ACC00022,598965.66,NEFT,BANK_B,BANK_A
TXN000022,2026-09-01 04:07:47,ACC00022,ACC00023,591425.22,IMPS,BANK_A,BANK_B
TXN000023,2026-09-01 08:07:47,ACC00023,ACC00016,585159.37,RTGS,BANK_B,BANK_A
TXN000024,2026-08-24 13:29:13,ACC00024,ACC00025,60642.64,UPI,BANK_A,BANK_A
TXN000025,2026-08-24 13:59:13,ACC00025,ACC00037,60101.05,IMPS,BANK_A,BANK_A
TXN000026,2026-08-24 14:17:13,ACC00024,ACC00026,79847.74,UPI,BANK_A,BANK_A
TXN000027,2026-08-24 14:34:13,ACC00026,ACC00037,77776.75,IMPS,BANK_A,BANK_A
TXN000028,2026-08-24 13:25:13,ACC00024,ACC00027,52994.91,IMPS,BANK_A,BANK_B
TXN000029,2026-08-24 13:47:13,ACC00027,ACC00037,51873.85,IMPS,BANK_B,BANK_A
TXN000030,2026-08-24 13:04:13,ACC00024,ACC00028,71609.07,UPI,BANK_A,BANK_A
TXN000031,2026-08-24 13:17:13,ACC00028,ACC00037,70241.69,IMPS,BANK_A,BANK_A
TXN000032,2026-08-24 13:53:13,ACC00024,ACC00029,75243.45,UPI,BANK_A,BANK_A
TXN000033,2026-08-24 14:02:13,ACC00029,ACC00037,73854.3,IMPS,BANK_A,BANK_A
TXN000034,2026-08-24 12:45:13,ACC00024,ACC00030,62780.98,UPI,BANK_A,BANK_A
TXN000035,2026-08-24 13:15:13,ACC00030,ACC00037,61416.09,IMPS,BANK_A,BANK_A
TXN000036,2026-08-24 14:03:13,ACC00024,ACC00031,43834.86,IMPS,BANK_A,BANK_A
TXN000037,2026-08-24 14:48:13,ACC00031,ACC00037,42938.82,IMPS,BANK_A,BANK_A
TXN000038,2026-08-24 14:44:13,ACC00024,ACC00032,65753.48,IMPS,BANK_A,BANK_B
TXN000039,2026-08-24 15:13:13,ACC00032,ACC00037,64243.08,IMPS,BANK_B,BANK_A
TXN000040,2026-08-24 14:09:13,ACC00024,ACC00033,71127.28,UPI,BANK_A,BANK_A
TXN000041,2026-08-24 14:37:13,ACC00033,ACC00037,69235.3,IMPS,BANK_A,BANK_A
TXN000042,2026-08-24 12:38:13,ACC00024,ACC00034,89118.68,UPI,BANK_A,BANK_A
TXN000043,2026-08-24 13:22:13,ACC00034,ACC00037,88118.53,IMPS,BANK_A,BANK_A
TXN000044,2026-08-24 14:27:13,ACC00024,ACC00035,59668.85,UPI,BANK_A,BANK_A
TXN000045,2026-08-24 14:55:13,ACC00035,ACC00037,58311.99,UPI,BANK_A,BANK_A
TXN000046,2026-08-24 14:06:13,ACC00024,ACC00036,43235.25,UPI,BANK_A,BANK_B
TXN000047,2026-08-24 14:45:13,ACC00036,ACC00037,42147.45,UPI,BANK_B,BANK_A
TXN000048,2026-08-29 03:44:20,ACC00038,ACC00039,41779.94,UPI,BANK_B,BANK_B
TXN000049,2026-08-29 04:24:20,ACC00039,ACC00064,41304.97,UPI,BANK_B,BANK_A
TXN000050,2026-08-29 01:29:20,ACC00038,ACC00040,67554.67,IMPS,BANK_B,BANK_B
TXN000051,2026-08-29 02:00:20,ACC00040,ACC00064,66150.67,IMPS,BANK_B,BANK_A
TXN000052,2026-08-29 03:31:20,ACC00038,ACC00041,65770.79,IMPS,BANK_B,BANK_B
TXN000053,2026-08-29 03:36:20,ACC00041,ACC00064,64800.64,IMPS,BANK_B,BANK_A
TXN000054,2026-08-29 02:55:20,ACC00038,ACC00042,41543.97,UPI,BANK_B,BANK_B
TXN000055,2026-08-29 03:33:20,ACC00042,ACC00064,40315.57,IMPS,BANK_B,BANK_A
